 22025
....AdTAM....	R	Advances in Theoretical and Applied Mechanics
....AdThP....	R	Advances in Theoretical Physics
....AdTMP....	R	Advances in Theoretical and Mathematical Physics
....AdWR.....	R	Advances in Water Resources
....AeAm.....	R	Aerospace America
....AeCh.....	R	Aerospace China
....AeCM.....	R	Aerospace Composites and Materials
....AEdRv....	R	Astronomy Education Review
....AeDy.....	R	Aerospace Dynamics
....AeEn.....	R	Aerospace Engineering
....AEEP.....	J	Advances in Electronics and Electron Physics
....AEEPS....	R	Advances in Electronics and Electron Physics Supplement
....AeIBu....	R	Aerokosmicheski Izsledvaniia B lgariia
....AeJ......	R	Aeronautical Journal
....Aekv.....	J	Aerodinamika kanalov i ventiliatorov
....AeMat....	R	Aerospace Materials
....AeMed....	R	Aerospace Medicine
....AeoRe....	R	Aeolian Research
....AeQ......	R	Aeronautical Quarterly
....AeRaG....	R	Aerodinamika Razrezhennykh Gazov
....AerAs....	R	L'Aeronautique et L'Astronautique
....aeri.rept	C	Atmospheric and Environmental Research, Inc. Report
....AerMS....	J	L'Aerotecnica Missili e Spazio
....Aero.....	R	Aerospace UK
....AerRv....	R	Revue Aerospatiale
....AerST....	R	Aerosol Science Technology
....AerTe....	R	Aerojet Technology
....AeSIJ....	R	Aeronautical Society India Journal
....AeTJa....	R	Aerospace Technology Japan
....AExpr....	R	Astronomy Express
....AFChr....	J	Annales Francaises de Chronometrie
....AFGL.....	J	AFGL-TR-0208 Environemental Research papers
....AFLB.....	R	Annales de la Fondation Louis de Broglie
....AFMa.....	J	Air Force Magazine
....AFOEV....	J	Bulletin de l'Association Francaise d'Observateurs d'Etoiles Variables
....AFRE.....	R	Alta Frequenza Rivista di Elettronica
....AfrSk....	J	African Skies
....Afz......	R	Astrofizika
....AGAb.....	C	Astronomische Gesellschaft Abstract Series
....AGM......	C	Astronomische Gesellschaft Meeting Abstracts
....Agrph....	J	The Astrograph
....AGUFM....	J	AGU Fall Meeting Abstracts
....AGUSM....	J	AGU Spring Meeting Abstracts
....AHEEM....	R	Archives of Hydro-Engineering and Environmental Mechanics
....AHES.....	R	Archive for History of Exact Sciences
....AHSJ.....	R	American Helicopter Society Journal
....aiaa.conf	C	American Institute of Aeronautics and Astronautics Conference
....aiaa.meet	C	AIAA, Aerospace Sciences Meeting
....AIAAJ....	R	AIAA Journal
....AIASJ....	R	AIAA Student Journal
....AIChE....	R	AIChE Journal
....aifo.rept	C	Air Force Interim Report
....AIH......	R	Acoustical Imaging and Holography
....AIHAJ....	R	AIHA Journal
....AiInt....	R	Air International
....AIPA.....	R	AIP Advances
....AIPC.....	C	American Institute of Physics Conference Series
....AIQSY....	J	Annals of the IQSY 
....AirCo....	R	Air et Cosmos
....AirE.....	J	Aircraft Engineering
....AirSp....	R	Air and Space
....AISAO....	J	Astrofizicheskie Issledovaniia Izvestiya Spetsial'noj Astrofizicheskoj Observatorii
....AISof....	J	Astrofizicheskie Issledovaniya Sofia
....AJ.......	R	The Astronomical Journal
....AJB......	J	Astronomischer Jahresbericht
....AJCh.....	R	Australian Journal of Chemistry
....AJGeo....	R	American Journal of Geoscience
....AJS......	R	The Astronomical Journal Supplement
....AJSE.....	R	Arabian Journal of Science Engineering
....AJSEd....	R	Atlas Journal of Science Education
....AkAtP....	J	Akademia Athenon Praktika
....AkTek....	J	Akustika i Ul trazvukovaia Tekhnika
....AkZh.....	R	Akusticheskii Zhurnal
....alab.rept	C	Alabama Univ., Huntsville Report
....AlFr.....	R	Alta Frequenza
....ALMAN....	J	ALMA Newsletter
....AMat.....	R	Applied Mathematics
....Ambio....	J	Ambio
....ames.rept	C	NASA Ames Research Center Technical Report
....AMGBA....	R	Archives for Meteorology Geophysics and Bioclimatology Series A Meteorology and Atmopsheric Physics
....AMGBB....	R	Archives for Meteorology Geophysics and Bioclimatology Series B Theoretical and Applied Climatology
....AMGBK....	R	Archiv Meteorologie Geophysik und Bioklimatologie Serie B Klimatologie und Umweltmeteorologie Strahlungsforschung
....AMGBS....	R	Archiv Meteorologie Geophysik und Bioklimatologie Serie Meteorologie und Geophysik
....AmJC.....	R	American Journal of Cardiology
....AmJM.....	R	American Journal of Mathematics
....AmJPh....	R	American Journal of Physics
....AmJS.....	R	American Journal of Science
....AmJSA....	R	American Journal of Science and Arts
....AMM......	R	Applied Mechanics and Materials
....AmMin....	R	American Mineralogist
....AMP......	R	Advanced Materials and Processes
....AMR......	R	Antarctic Meteorite Research
....AmSci....	R	American Scientist
....AMT......	R	Atmospheric Measurement Techniques
....AMTD.....	R	Atmospheric Measurement Techniques Discussions
....AN.......	R	Astronomische Nachrichten
....Ana......	R	The Analyst
....AnaCh....	R	Analytical Chemistry
....AnAIK....	J	Annales de l'Observatoire astronomique de l'Universit&eacute; im&eacute;riale de Kharkow
....AnaIn....	R	Analytical Instrumentation
....AnAp.....	R	Annales d'Astrophysique
....AnAPM....	J	Annales de l'Observatoire d'astronomie physique de Paris, Section d'astrophysique, &agrave; Meudon
....AnApS....	R	Annals of Applied Statistics
....AnBes....	J	Annales de l'Observatoire de Besancon
....AnBog....	J	Neue Annalen der Koeniglichen Sternwarte in Bogenhausen bei Muenchen
....AnBor....	J	Annales de l'Observatoire de Bordeaux
....AnBos....	J	Annals of the Bosscha Observatory Lembang (Java) Indonesia
....AnBru....	J	Annales de l'Observatoire Royal de Bruxelles
....AnCap....	J	Annals of the Cape Observatory
....AnCGH....	J	Annals of Royal Observatory, Cape of Good Hope
....AnCPh....	J	Annales de Chimie et de Physique
....AnDea....	J	Annals of the Dearborn Observatory
....AnDud....	J	Annals of the Dudley Observatory
....AnEdi....	J	Annals of the Royal Observatory, Edinburgh
....AnErg....	J	Ergaenzungshefte zu den Astronomischen Nachrichten
....Anews....	J	ASTRON Newsletter
....AnFis....	J	Anales de Fisica
....AnG......	R	Annales de Geophysique
....AnGeo....	R	Annales Geophysicae
....AnGla....	R	Annals of Glaciology
....AnGp.....	R	Annals of Geophysics
....AnGVP....	J	Annales du Bureau des Longitudes, Gauthier-Villars, Paris
....AnHar....	J	Annals of Harvard College Observatory
....AnHP.....	J	Annales Henri Poincar&eacute;
....AnIHP....	J	Annales de L'Institut Henri Poincare Section Physique Theorique
....AnIPS....	J	Annals of the Israel Physical Society
....ANLAF....	J	Accademia Nazionale dei Lincei Atti Rendiconti Classe di Scienze Fisiche e Naturali
....ANLAM....	J	Accademia Nazionale dei Lincei Atti Rendiconti Classe di Matematica e Applicazioni
....ANLAR....	J	Accademia Nazionale dei Lincei Atti Rendiconti Classe di Scienze Fisiche Matematiche e Naturali
....AnLei....	J	Annalen van de Sterrewacht te Leiden
....AnLL.....	J	Annals of the Observatory of Lucien Libert
....AnLow....	J	Annals of the Lowell Observatory
....AnLun....	J	Annals of the Observatory of Lund
....AnLuS....	J	Annals of the Observatory of Lund Supplement
....AnMat....	R	Annals of Mathematics
....AnMet....	R	Annalen Meteorologie
....AnMN.....	J	Antarctic Meteorite Newsletter
....AnMP.....	R	Analysis and Mathematical Physics
....AnMun....	J	Annalen der Koeniglichen Sternwarte bei Muenchen
....AnMuS....	J	Supplementband zu den Annalen der Munchener Sternwarte
....AnNic....	J	Annales de l'Observatoire de Nice
....AnOB.....	J	Annales de l'Observatoire Royal de Belgique
....AnOBN....	J	Annales de l'Observatoire Royal de Belgique Nouvelle serie
....AnOLL....	J	Annals of the Private Observatory of Lucien Libert
....AnOSt....	J	Annales de l'Observatoire de Strasbourg
....AnP......	R	Annalen der Physik
....AnPar....	J	Annales de l'Observatoire de Paris
....AnPCS....	R	Annales de Physique Colloque Supplement
....AnPh.....	R	Annales de Physique
....AnPhy....	R	Annals of Physics
....AnPOb....	J	Annales de l'Observatoire de Paris. Observations
....AnRE.....	R	Annual Review of Energy
....AnRFM....	R	Annual Review of Fluid Mechanics
....AnRio....	J	Annales de l'Observatoire Imperial de Rio de Janeiro
....AnRMS....	R	Annual Review of Materials Science
....AnRS.....	C	Antarctic Research Series
....ANS......	J	Astronomische Nachrichten Supplement
....AnSAO....	J	Annals of the Astrophysical Observatory of the Smithsonian Institution
....AnSci....	R	Annals of Science
....AnShO....	J	Shanghai Observatory Annals
....AnSPC....	J	Annals of the Solar Physics Observatory Cambridge England
....AnSta....	R	Annals of Statistics
....AnStr....	J	Annalen der Kaiserlichen Universitats-Sternwarte in Strassburg
....AnTec....	R	Annales Tectonicae
....AnTel....	R	Annales des Telecommunications
....Anten....	R	Antenny
....Antk.....	J	Antarktika
....AnTok....	J	Annals of the Tokyo Astronomical Observatory
....AnTou....	J	Annales de l'Observatoire Astron. et Meteo. de Toulouse
....AnUCP....	R	Annals of the University of Craiova Physics AUC
....AnWiD....	J	Annalen der Universitaets-Sternwarte Wien, Dritter Folge
....AnWie....	J	Annalen der K.K. Sternwarte Wien
....ANZi.....	J	Beobachtungs-Zirkular der Astronomischen Nachrichten
....AnZoC....	J	Annales de l'Observatoire astronomique de Z&ocirc;-s&egrave; (Chine)
....AOIJ.....	J	Academic Open Internet Journal
....AOTok....	J	Annales de l'Observatoire astronomique de Tokyo
....Ap&SS....	R	Astrophysics and Space Science
....Ap.......	R	Astrophysics
....ApAc.....	R	Applied Acoustics
....ApAN.....	J	Apatity Akademiia Nauk SSSR
....APCAJ....	R	Air Pollution Control Association Journal
....ApCM.....	R	Applied Composite Materials
....Apei.....	R	Apeiron
....ApEn.....	R	Applied Energy
....ApEnM....	R	Applied Environmental Microbiology
....APExp....	R	Applied Physics Express
....ApGeo....	R	Applied Geophysics
....APh......	R	Astroparticle Physics
....APHHI....	R	Acta Physica Hungarica Heavy Ion Physics
....APHQE....	R	Acta Physica Hungarica Quantum Electronics
....APhy.....	R	Acoustical Physics
....ApHyd....	R	Applied Hydrogeology
....ApInv....	R	Astrophysical Investigations
....ApJ......	R	The Astrophysical Journal
....APJAS....	R	Asia-Pacific Journal of Atmospheric Sciences
....ApJS.....	R	The Astrophysical Journal Supplement Series
....ApKF.....	J	Apatity Kol skii Filial AN SSSR
....ApL&C....	R	Astrophysical Letters and Communications
....ApL......	R	Astrophysical Letters
....APLM.....	R	APL Materials
....ApMaC....	R	Applied Mathematics Computation
....ApMaL....	R	Applied Mathematics Letters
....ApMaM....	R	Applied Mathematics Mechanics English Edition
....ApMaO....	R	Applied Mathematics Optimization
....ApMat....	R	Aplikace Matematiky, Applied Mathematics
....ApMic....	R	Applied Microbiology
....ApMM.....	J	Applied Mathematics and Mechanics
....ApMRv....	R	Applied Mechanics Reviews
....ApMT.....	R	Applied Microgravity Technology
....ApNan....	R	Applied Nanoscience
....ApNM.....	R	Applied Numerical Mathematics
....ApNr.....	R	Astrophysica Norvegica
....ApOpt....	R	Applied Optics
....AppAn....	R	Applicable Analysis
....ApPhA....	R	Applied Physics A: Materials Science & Processing
....ApPhB....	R	Applied Physics B: Lasers and Optics
....ApPhC....	R	Applied Physics Communications
....ApPhL....	R	Applied Physics Letters
....ApPhR....	R	Applied Physics Research
....ApPhy....	R	Applied Physics
....ApPPL....	R	Applied Physics B Photophysics Laser Chemistry
....ApPRv....	R	Applied Physics Reviews
....APS......	C	APS Meeting Abstracts
....APS..4CF.	C	APS Four Corners Section Meeting Abstracts
....APS..APR.	C	APS April Meeting Abstracts
....APS..CAL.	C	APS California Section Meeting Abstracts
....APS..DFD.	C	APS Division of Fluid Dynamics Meeting Abstracts
....APS..DMP.	C	APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts
....APS..DNP.	C	APS Division of Nuclear Physics Meeting Abstracts
....APS..DPP.	C	APS Division of Plasma Physics Meeting Abstracts
....APS..GEC.	C	APS Annual Gaseous Electronics Meeting Abstracts
....APS..MAR.	C	APS March Meeting Abstracts
....APS..NEF.	C	APS New England Section Fall Meeting Abstracts
....APS..NES.	C	APS New England Section Spring Meeting Abstracts
....APS..NWS.	C	APS Northwest Section Meeting Abstracts
....APS..OSF.	C	APS Ohio Sections Fall Meeting Abstracts
....APS..OSS.	C	APS Ohio Sections Spring Meeting Abstracts
....APS..PSF.	C	APS Prairie Section Meeting Abstracts
....APS..SES.	C	APS Southeastern Section Meeting Abstracts
....APS..SHK.	C	APS Shock Compression of Condensed Matter Meeting Abstracts
....APS..TSF.	C	APS Texas Sections Fall Meeting Abstracts
....APS..TSS.	C	APS Texas Sections Spring Meeting Abstracts
....ApScR....	R	Applied Scientific Research
....ApSE.....	R	Applied Solar Energy
....ApSpe....	R	Applied Spectroscopy
....ApSRA....	J	Applied Scientific Research Section A
....ApSRB....	J	Applied Scientific Research Section B
....ApSRv....	R	Applied Spectroscopy Reviews
....ApSS.....	R	Applied Surface Science
....ApSSP....	J	Astrophysics and Space Science Proceedings
....ApSSS....	R	Astrophysics and Space Science Supplement
....ApSup....	R	Applied Superconductivity
....ApT......	R	Astrophysics Today
....ApWS.....	R	Applied Water Science
....AR&T.....	R	Astronomical Research and Technology
....ARA&A....	R	Annual Review of Astronomy and Astrophysics
....ArA......	R	Arkiv for Astronomi
....ARAC.....	R	Annual Review of Analytical Chemistry
....ArAco....	R	Archives Acoustics
....ArAku....	R	Archiwum Akustyki
....ARAOJ....	J	Annual Report of the National Astronomical Observatory of Japan
....ArAuT....	R	Archiwum Automatyki i Telemechaniki
....ArBei....	J	Astrophysics Reports Publications of the Beijing Astronomical Observatory
....ARBl.....	R	Aerospace Research in Bulgaria
....ArBuM....	R	Archiwum Budowy Maszyn
....Arch.....	R	Archaeoastronomy
....ArchS....	R	Archaeoastronomy Supplement
....arcl.rept	C	Applied Research Corp. Annual Report
....ARCMP....	R	Annual Review of Condensed Matter Physics
....ArCom....	R	Archivum Combustionis
....AReg.....	J	Astronomical register
....ArEle....	R	Archiwum Elektrotechniki
....ArElU....	R	Archiv Elektronik und Uebertragungstechnik
....ARep.....	R	Astronomy Reports
....AREPS....	R	Annual Review of Earth and Planetary Sciences
....ARIJ.....	R	An Interdisciplinary Journal of Physical and Engineering Sciences
....ARIST....	R	Annual Review of Information Science and Technology
....ArJPh....	J	Armenian Journal of Physics
....ArM......	R	Arkiv for Matematik
....ArMAF....	R	Arkiv for Matematik, Astronomi och Fysik
....ArMaN....	R	Archiv for Mathematik og Naturvidenskab
....ArMeS....	R	Archiv of Mechanics, Archiwum Mechaniki Stosowanej
....ArMiS....	R	Archives of Mining Sciences
....ARMS.....	R	Annual Review of Marine Science
....ARNPS....	R	Annual Review of Nuclear and Particle Science
....ArNSc....	J	Archives Neerlandaises des Sciences Exactes et Naturelles
....ARPC.....	R	Annual Review of Physical Chemistry
....ARPM.....	J	Adgeziia Rasplavov i Paika Materialov
....ArPSp....	R	Archiwum Procesow Spalania
....ArRMA....	R	Archive for Rational Mechanics and Analysis
....ArS......	R	Archives des Sciences
....ArSPN....	J	Archives des Sciences Physiques et Naturelles
....ArTh.....	R	Archives of Thermodynamics
....ArTr.....	R	Archives of Transport
....ArtSa....	R	Artificial Satellites
....ArTSp....	R	Archiwum Termodynamiki i Spalania
....arXiv....	J	ArXiv e-prints
....As&Ge....	R	Astronomiya i geodeziya
....AsAc.....	R	Astronautica Acta
....AsAer....	R	Astronautics Aeronautics
....ASAJ.....	R	Acoustical Society of America Journal
....AsBio....	R	Astrobiology
....ASBTV....	J	Archenhold-Sternwarte Berlin-Treptow, Vortrage Schr.
....asc..rept	J	Space Telescope ASC Instrument Science Report 
....ascl.soft	J	Astrophysics Source Code Library
....asd..soft	J	Astrophysics Software Database
....asdy.conf	C	AAS/AIAA Astrodynamics Conference
....ASFAS....	J	Academia Scientiarum Fennica Annales Series Physica
....ASHRA....	R	ASHRAE Journal
....ASIB.....	C	NATO Advanced Science Institutes (ASI) Series B
....ASIC.....	C	NATO Advanced Science Institutes (ASI) Series C
....ASInC....	C	Astronomical Society of India Conference Series
....AsJPh....	R	Asian Journal of Physics
....ASL......	R	Advanced Science Letters
....ASLLR....	J	Accademia di Scienze e Lettere Istituto Lombardo Rendiconti Serie della Classe di Scienze Matematiche e Naturali Sezione Scienze Matematiche Fisiche Chimiche e Geologiche
....ASME.....	J	American Society of Mechanical Engineers
....Asnau....	R	Astronautik
....AsNow....	R	Astronomy Now
....ASNYN....	J	News Letter of the Astronomical Society of New York
....ASPC.....	C	Astronomical Society of the Pacific Conference Series
....ASPL.....	J	Leaflet of the Astronomical Society of the Pacific
....ASPLS....	J	Leaflet of the Astronomical Society of the Pacific (Supplement)
....ASPRv....	R	Astrophysics and Space Physics Reviews
....ASSAB....	J	Academie Serbe des Sciences et des Arts Bulletin Classe des Sciences Techniques
....ASSB.....	J	Annales de la Societe Scietifique de Bruxelles
....AsSch....	J	Astronomie in der Schule
....ASSF.....	R	Acta Societatis Scientarum Fennicae
....ASSFA....	R	Acta Societatis Scientarum Fennicae Series A
....ASSL.....	C	Astrophysics and Space Science Library
....ASSP.....	C	Advances in Solid State Physics
....Ast......	J	Astronomy
....AstAp....	R	Astronomy and Astro-Physics (formerly The Sidereal Messenger)
....AstBa....	J	Biblioteca "Astrei Basarabene"
....AstBu....	R	Astrophysical Bulletin
....Aster....	R	Aster
....AstHe....	J	Astronomical Herald
....AstL.....	R	Astronomy Letters
....Astnm....	R	Astronomia UAI
....AstPo....	R	Astropolitics
....AstQ.....	R	Astronomy Quarterly
....Astr.....	J	The Astronomer
....ASTRA....	R	Astrophysics and Space Sciences Transactions
....Astro....	J	Astronomy
....astro.ph.	J	ArXiv Astrophysics e-prints
....AstRv....	R	The Astronomical Review
....asu..rept	C	Arizona State University Technical Report
....AsUAI....	R	Astronomia. La rivista dell' Unione Astrofili Italiani
....ATel.....	J	The Astronomer's Telegram
....AtEn.....	R	Atomnaia Energiia
....AtERv....	R	Atomic Energy Review
....ATi......	J	Astronomisk Tidsskrift
....ATJAM....	R	ASME Transactions Series E Journal of Applied Mechanics
....ATJDS....	R	ASME Transactions Journal of Dynamic Systems and Measurement Control B
....ATJEG....	R	ASME Transactions Journal of Engineering Gas Turbines and Power
....ATJEl....	R	ASME Transactions Journal of Electronic Packaging
....ATJEM....	R	ASME Transactions Journal Engineering Materials and Technology
....ATJEP....	J	ASME Transactions Journal of Engineering Power
....ATJFE....	R	ASME Transactions Journal of Fluids Engineering
....ATJHT....	R	ASME Transactions Journal of Heat Transfer
....ATJLT....	R	ASME Transactions Journal of Lubrication Technology
....ATJSE....	R	ASME Transactions Journal of Solar Energy and Engineering
....ATJTr....	R	ASME Transactions Journal of Tribology
....ATJTu....	R	ASME Transactions Journal of Turbomachinery
....ATJVA....	R	ASME Transactions Journal of Vibration Acoustics
....AtKe.....	J	Atomkernenergie
....AtlVS....	J	Atlas Poiskovykh Kart Peremennykh Zvezd
....ATMAB....	J	Association Technique Maritime et Aeronautique Bulletin
....ATMAS....	J	Association Technique Maritime et Aeronautique Session Paris France ONERA TP
....AtmEn....	R	Atmospheric Environment
....Atmos....	R	Atmosphere
....AtmRe....	R	Atmospheric Research
....AtmTe....	R	Atmospheric Technology
....atnf.prop	J	ATNF Proposal
....AtO......	R	Atmosphere Ocean
....Atom.....	J	Atom
....AtOpt....	R	Atmosphere Optics
....AtPhy....	R	Atomic Physics
....ATR......	R	ATR Australian Telecommunication Research
....AtSc.....	R	Atmospheric Science
....AtScL....	R	Atmospheric Science Letters
....ATsir....	R	Astronomicheskij Tsirkulyar
....AtST.....	R	Atomisation Spray Technology
....ATTM.....	J	AEG Telefunken Technische Mitteilungen
....ATTTJ....	R	AT T Technical Journal
....AUGGM....	R	Annales UMCS, Geographia, Geologia, Mineralogia et Petrographia
....AuJA.....	R	Australian Journal of Astronomy
....AuJES....	R	Australian Journal of Earth Sciences
....AuJPA....	R	Australian Journal of Physics Astrophysical Supplement
....AuJPh....	R	Australian Journal of Physics
....AuMM.....	R	Australian Meteorological Magazine
....AuMSJ....	R	Australian Mathematical Society Journal Series B -- Applied Mathematics
....AuRob....	R	Autonomous Robots
....AurPh....	R	Auroral physics
....AUSPh....	R	Annales UMCS, Sectio AAA: PHYSICA
....AuSRA....	R	Australian Journal of Scientific Research A Physical Sciences
....Autom....	R	Automatica
